Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover
24/01/2023 12:00:00 am,51.332859171220697,0.091531579341591396,0,1.4243907505622886,0,124.22828985946538,56.467404481575166,0,1,0,0,0.031697614636008176
25/01/2023 12:00:00 am,44.238575119648786,0.084828613502040184,-8.4531846914794535,1.4437292534095876,0,124.31311847296742,56.505962942257916,0,0.97621621621621613,0,0,0
26/01/2023 12:00:00 am,37.851054502378744,0,-7.8363637690061836,1.4488431517361402,0,0,0,0,0.96178816654492327,0,0,0
27/01/2023 12:00:00 am,32.092835279181735,0,-7.1997575853954174,1.4415383621984068,0,0,0,0,0.95253471857540506,0,0,0
28/01/2023 12:00:00 am,26.802789995703183,0,-6.7563530286001985,1.4663077451216455,0,0,0,0,0.98671611883397403,0,0,0
29/01/2023 12:00:00 am,21.986166955729594,0,-6.3015529608563341,1.484929920882744,0,0,0,0,0.98216963700298687,0,0,0
30/01/2023 12:00:00 am,17.676504269469188,0,-5.7935545276456253,1.4838918413852207,0,0,0,0,0.98165007273466087,0,0,0
31/01/2023 12:00:00 am,13.82806613307592,0,-5.3344065501638767,1.4859684137706093,0,0,0,0,0.99062233442980785,0,0,0
1/02/2023 12:00:00 am,10.41264395443865,0,-4.9013905924078784,1.4859684137706093,0,0,0,0,0.99769377291442785,0,0,0
2/02/2023 12:00:00 am,7.3783805564126475,0,-4.5306394755876696,1.496376077561667,0,0,0,0,0.98383874271882532,0,0,0
3/02/2023 12:00:00 am,4.7151090089634682,0,-4.1627779840454764,1.4995064365962971,0,0,0,0,0.97964817955626016,0,0,0
4/02/2023 12:00:00 am,2.4131899348528507,0,-3.7930861529304991,1.4911670788198816,0,0,0,0,0.98023829386495065,0,0,0
5/02/2023 12:00:00 am,0.46149920149105594,0,-3.4179984784834403,1.4663077451216455,0,0,0,0,0.99884044462643506,0,0,0
6/02/2023 12:00:00 am,-1.1749854000105064,0,-3.0751102971619844,1.4386256956604222,0,0,0,0,1,3.9722123374451428,0,0
7/02/2023 12:00:00 am,-2.5550208763635949,0,-2.8176417013838488,1.4376062250307606,0,0,0,0,0.99554054054054053,0,0,0
8/02/2023 12:00:00 am,-3.7035538395283001,0,-2.593284169012307,1.4447512058476017,0,0,0,0,1,0.016500000000007731,0,0
9/02/2023 12:00:00 am,-4.6277198466457445,0,-2.3638115870535898,1.4396455799361456,0,0,0,0,1,0.73000000000001819,0,0
10/02/2023 12:00:00 am,-5.3596174918724335,0,-2.1982053903483347,1.4663077451216455,0,0,0,0,1,2,0,0
11/02/2023 12:00:00 am,-5.9056062322109337,0,-2.0444513106250213,1.4984625702865211,0,0,0,0,1,0.0700000000000216,0,0
12/02/2023 12:00:00 am,-6.2631687532611551,0,-1.8570689576465185,1.4995064365962971,0,0,0,0,1,3.1800000000000068,0,0
13/02/2023 12:00:00 am,-6.4461107775298379,0,-1.6782754754304392,1.4953334511617566,0,0,0,0,0.99182432432432432,0,0,0
14/02/2023 12:00:00 am,-6.4694754875507181,0,-1.5062188853058274,1.4828541752849473,0,0,0,0,1,1.9286148648648691,0,0
15/02/2023 12:00:00 am,-6.3509909128890261,0,-1.3375354057407662,1.4560199804024587,0,0,0,0,1,0.80000000000001137,0,0
16/02/2023 12:00:00 am,-6.1047840860079017,0,-1.201612717972111,1.4478195448532352,0,0,0,0,0.98358108108108122,0,0,0
17/02/2023 12:00:00 am,-5.7387608867405415,0,-1.0869185159395442,1.452941715206904,0,0,0,0,0.97411559532505476,0,0,0
18/02/2023 12:00:00 am,-5.2600399446775885,0,-0.98140918178503966,1.4601301238479922,0,0,0,0,0.96996301786172578,0,0,0
19/02/2023 12:00:00 am,-4.6760342489902014,0,-0.88230204943425861,1.4663077451216455,0,0,0,0,0.97218013364346756,0,0,0
20/02/2023 12:00:00 am,-3.9981057681512557,0,-0.78528859278961249,1.4632170736285581,0,0,0,0,0.96351371156406118,0,0,0
21/02/2023 12:00:00 am,-3.2239904920488516,0,-0.7045923688899336,1.4787076449923373,0,0,0,0,0.96320326143353541,0,0,0
22/02/2023 12:00:00 am,-2.3674606853402613,0,-0.62217783828374706,1.4787076449923373,0,0,0,0,1,0.39815258171927326,0,0
23/02/2023 12:00:00 am,-1.4539572346257341,0,-0.53636372150347711,1.4498671722180043,0,0,0,0,0.99831081081081086,0,0,0
24/02/2023 12:00:00 am,-0.51353189563704427,0,-0.45173289268690553,1.3921582316755954,0,0,0,0,0.98571562271731183,0,0,0
25/02/2023 12:00:00 am,0.4556250016566652,0,-0.38429084145914771,1.3534477387528572,0,0,0,0,0.981526401909808,0,0,0
26/02/2023 12:00:00 am,1.4755657402581162,0,-0.33449171440436487,1.3544324530058158,0,0,0,0,0.97111502024689322,0,0,0
27/02/2023 12:00:00 am,2.5577266887376524,0,-0.29205269133370848,1.374213639813245,0,0,0,0,1,0.96167793579951422,0,0
28/02/2023 12:00:00 am,3.6781061037956677,0,-0.24689198067731866,1.3672713957353337,0,0,0,0,1,3.0200000000000102,0,0
1/03/2023 12:00:00 am,4.8386856758218091,0,-0.20669182370919259,1.3672713957353337,0,0,0,0,1,3.0200000000000102,0,0
2/03/2023 12:00:00 am,6.0584533063982802,0,-0.1723906010991243,1.3921582316755954,0,0,0,0,1,1.460000000000008,0,0
3/03/2023 12:00:00 am,7.3108262653447742,0,-0.13678519690000712,1.3891581558465007,0,0,0,0,1,3.5100000000000193,0,0
