Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover
24/01/2023 12:00:00 am,50.723394871803528,0.39332526181465255,0,1.1167201336181833,0,515.99933607724904,234.54515276238598,0,1,0,0,0.033922851734266346
25/01/2023 12:00:00 am,81.038323594994083,0.37823296430792652,29.499273730908929,1.1938879565895504,0,516.37756904155697,234.71707683707137,0,0.97087837837837832,0,0,0
26/01/2023 12:00:00 am,107.25655626770892,0,24.979011899043112,1.2392207736717216,0,0,0,0,0.96964102447041645,0,0,0
27/01/2023 12:00:00 am,127.38612576474408,0,18.978570669503526,1.1509988275316425,0,0,0,0,0.95782037308377577,0,0,0
28/01/2023 12:00:00 am,143.18499667157923,0,14.72176256692012,1.0771083399150392,0,0,0,0,0.93356232119947169,0,0,0
29/01/2023 12:00:00 am,156.880882963396,0,12.588717368473752,1.1071689233430129,0,0,0,0,0.90844290083948731,0,0,0
30/01/2023 12:00:00 am,168.32631253639394,0,10.349021319603992,1.0964082533939581,0,0,0,0,0.88327087257242065,0,0,0
31/01/2023 12:00:00 am,177.96889859039081,0,8.5523497250825784,1.0902363289142931,0,0,0,0,0.85518739714767666,0,0,0
1/02/2023 12:00:00 am,186.42233043504589,0,7.3264685576904185,1.1269632869646773,0,0,0,0,0.84901966371896187,0,0,0
2/02/2023 12:00:00 am,193.16223273142728,0,5.6870523288642261,1.0528499675171759,0,0,0,0,0.83046772777056033,0,0,0
3/02/2023 12:00:00 am,198.627869867551,0,4.4792083335619566,0.98642880256177368,0,0,0,0,0.81247314452379238,0,0,0
4/02/2023 12:00:00 am,203.35481002106712,0,3.750665325645997,0.9762748278701201,0,0,0,0,0.81516814524982251,0,0,0
5/02/2023 12:00:00 am,207.17825034469405,0,2.9290196549214329,0.89442066870550574,0,0,0,0,0.79834952520607716,0,0,0
6/02/2023 12:00:00 am,210.36531425045717,0,2.3539242052469831,0.83313970051614128,0,0,0,0,0.78015311976103985,0,0,0
7/02/2023 12:00:00 am,213.10838412972859,0,1.9499465402392673,0.7931233390321385,0,0,0,0,0.76616249490263333,0,0,0
