Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover
30/12/2022 12:00:00 am,152.94013643685801,7.9908868530349082,0.10865841791300568,0.8228334775421936,0,250.59612120229372,113.90732781922439,0,0.79801945784285866,0,0,0.99708073203238723
31/12/2022 12:00:00 am,145.56084932540881,8.3312153074079447,0.11160831382460401,0.84031988213413567,0,258.92733650970166,117.6942438680462,0,0.78671272353390853,0,0,0.99752059771404167
1/01/2023 12:00:00 am,137.57853695827794,8.9884045891355981,0.11849054476478216,0.88760167723996952,0,267.91574109883726,121.77988231765329,0,0.7660403476461547,0,0,0.99791665238874427
2/01/2023 12:00:00 am,129.27412768323714,9.3169397688372442,0.11970985833703196,0.89282063545938806,0,277.2326808676745,126.01485493985203,0,0.74630019519118829,0,0,0.99825696738262193
3/01/2023 12:00:00 am,121.32149469681724,8.8710026674023084,0.10890390651894677,0.80946577446346513,0,286.10368353507681,130.04712887958036,0,0.73081130709920128,0,0,0.99852674629015303
4/01/2023 12:00:00 am,113.56310267238547,8.6029941054435994,0.10037526871286673,0.74422681229896459,0,294.70667764052041,133.9575807456911,0,0.70499431745234875,0,0,0.9987467999232652
5/01/2023 12:00:00 am,105.62486487688776,9.0895759980767252,0.13708235353480802,1.0142558490441773,0,303.79625363859714,138.08920619936234,0,0.89535641917375863,0,29.600000000000009,0.99894248978334221
6/01/2023 12:00:00 am,97.536249465397816,9.2470952683115115,0.13812756118932157,1.0203522956322393,0,313.04334890690865,142.29243132132208,0,0.88827116309180709,0,0,0.99910940461134146
7/01/2023 12:00:00 am,89.631148527846449,8.988648717888907,0.12927799506364579,0.95426978527387996,0,322.03199762479755,146.37818073854436,0,0.86879725980133216,0,0,0.99924586309316676
8/01/2023 12:00:00 am,81.887080001273318,8.7483287797178946,0.1198198284983647,0.88444042464640116,0,330.78032640451545,150.35469382023425,0,0.83919526061336325,0,0,0.99935830833895622
9/01/2023 12:00:00 am,73.866214034706957,9.0346584999523429,0.12089600946997336,0.89289652391602314,0,339.81498490446779,154.46135677475806,0,0.81601251903663841,0,0,0.99945676275263406
10/01/2023 12:00:00 am,65.748986643476769,9.1512957841499656,0.12319044186622818,0.91087795105357272,0,348.96628068861776,158.62103667664442,0,0.81846761768276088,0,0,0.99954111833060866
11/01/2023 12:00:00 am,58.025120438934323,8.6937602092498878,0.11538028913720666,0.85451371557024536,0,357.66004089786765,162.57274586266712,0,0.81826321433687887,0,0,0.99960919241859014
12/01/2023 12:00:00 am,50.153453610392773,8.8477680594745038,0.11591047690029654,0.86019075403264622,0,366.50780895734215,166.5944586169737,0,0.80338654680274157,0,0,0.99966827358544608
13/01/2023 12:00:00 am,42.423333994181348,8.6599237394784154,0.11017844846060143,0.81962567480638537,0,375.16773269682056,170.5307875894639,0,0.78314814487315998,0,0,0.99971763621693721
