Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover
14/08/2022 12:00:00 am,50.138100705318578,0.054290225584480822,0,0.1923909309030572,0,124.26349322419991,56.483406010999957,0,0.29999999999999999,0,0,0.01885968091708301
15/08/2022 12:00:00 am,48.841434778066962,0.049625248767512176,-1.4940645966812105,0.24702391819710634,0,124.31311847296742,56.505962942257916,0,0.52108108108108109,0,29.600000000000009,0
16/08/2022 12:00:00 am,47.291106762026224,0,-1.8631123771195117,0.31278436107877605,0,0,0,0,0.72565412710007315,0,29.600000000000009,0
17/08/2022 12:00:00 am,45.589953120935334,0,-2.0519435181882293,0.35078987709733811,0,0,0,0,0.73846932733500492,0,0,0
18/08/2022 12:00:00 am,43.83379477502362,0,-2.1270380694344677,0.37087972352275539,0,0,0,0,0.75726345350166024,0,0,0
19/08/2022 12:00:00 am,42.17295483452488,0,-2.0202129685131345,0.35937302801439397,0,0,0,0,0.76321807414894416,0,0,0
20/08/2022 12:00:00 am,40.533454292835742,0,-2.0029366791446979,0.3634361374555572,0,0,0,0,0.76736765733152024,0,0,0
21/08/2022 12:00:00 am,38.927122946498038,0,-1.9712466062474547,0.36491525990975315,0,0,0,0,0.76580791956937277,0,0,0
22/08/2022 12:00:00 am,37.343383585155856,0,-1.9525668006531891,0.36882743931100642,0,0,0,0,0.77169326076205358,0,0,0
23/08/2022 12:00:00 am,35.773487767484461,0,-1.944875653723587,0.37497983605218815,0,0,0,0,0.76513670288998015,0,0,0
24/08/2022 12:00:00 am,34.161312317423864,0,-2.0075532709613135,0.39537782090071899,0,0,0,0,0.76645644806729785,0,0,0
25/08/2022 12:00:00 am,32.491686395422832,0,-2.0907919715940615,0.42116604959302795,0,0,0,0,0.76895857866121031,0,0,0
26/08/2022 12:00:00 am,30.757674316677775,0,-2.1848815193509203,0.4508694406058637,0,0,0,0,0.78265156603964414,0,0,0
27/08/2022 12:00:00 am,29.105155894668595,0,-2.095878928173633,0.44336050616445316,0,0,0,0,0.78498955692437744,0,0,0
28/08/2022 12:00:00 am,27.577571778619756,0,-1.950163699530485,0.42257958348164754,0,0,0,0,0.77738156171438411,0,0,0
29/08/2022 12:00:00 am,26.088378256857666,0,-1.9137808754221197,0.42458735366002853,0,0,0,0,0.77465311239855295,0,0,0
30/08/2022 12:00:00 am,24.609959132135142,0,-1.913157982635159,0.43473885791263511,0,0,0,0,0.78597396133532338,0,0,0
31/08/2022 12:00:00 am,23.202897522549591,0,-1.8339521058618011,0.42689049627625136,0,0,0,0,0.78625125226773562,0,0,0
1/09/2022 12:00:00 am,21.832825791115322,0,-1.7989664901542142,0.42889475871994487,0,0,0,0,0.78426559429943365,0,0,0
2/09/2022 12:00:00 am,20.433544172840207,0,-1.851822400364,0.45254078208888571,0,0,0,0,0.78641641815254859,0,0,0
3/09/2022 12:00:00 am,19.081174791785031,0,-1.8047665553478893,0.45239717429271209,0,0,0,0,0.78726647764923885,0,0,0
4/09/2022 12:00:00 am,17.821880593132477,0,-1.6949089537866584,0.43561475513410453,0,0,0,0,0.79282675021836968,0,0,0
5/09/2022 12:00:00 am,16.588928216833565,0,-1.6739525952841632,0.44100021898525327,0,0,0,0,0.80695350612831862,0,0,0
6/09/2022 12:00:00 am,15.404762115395251,0,-1.6223190226734516,0.43815292123513672,0,0,0,0,0.80126082835108237,0,0,0
7/09/2022 12:00:00 am,14.279783811338094,0,-1.5555735935597426,0.43059528950258502,0,0,0,0,0.79286541175174341,0,0,0
8/09/2022 12:00:00 am,13.195830327270633,0,-1.5131587927648837,0.42920530869742246,0,0,0,0,0.78688556469310378,0,0,0
9/09/2022 12:00:00 am,12.174117838993228,0,-1.4401954803391348,0.41848299206172979,0,0,0,0,0.78277944672027755,0,0,0
10/09/2022 12:00:00 am,11.226228328389693,0,-1.3492074470877853,0.40131793648425107,0,0,0,0,0.77920510209800387,0,0,0
11/09/2022 12:00:00 am,10.271024515918056,0,-1.3733962532455237,0.41819244077388579,0,0,0,0,0.77801367835201873,0,0,0
12/09/2022 12:00:00 am,9.3145937819169458,0,-1.3901940942313118,0.43376336023020123,0,0,0,0,0.76945943945536988,0,0,0
13/09/2022 12:00:00 am,8.3434850617113554,0,-1.4283116311419946,0.45720291093640497,0,0,0,0,0.76800089335498956,0,0,0
14/09/2022 12:00:00 am,7.3899835441612858,0,-1.4204425318905649,0.46694101434049551,0,0,0,0,0.76868196296732416,0,0,0
15/09/2022 12:00:00 am,6.4796673219610472,0,-1.3744413223249481,0.4641251001247097,0,0,0,0,0.7602709041083946,0,0,0
16/09/2022 12:00:00 am,5.5623944311793032,0,-1.4049488117951654,0.48767592101342161,0,0,0,0,0.75328002458231258,0,0,0
17/09/2022 12:00:00 am,4.6764733635725246,0,-1.3780634004663099,0.49214233285953179,0,0,0,0,0.74173148357670127,0,0,0
18/09/2022 12:00:00 am,3.8822206521513425,0,-1.2550876002818327,0.46083488886065049,0,0,0,0,0.7509196216808629,0,0,0
19/09/2022 12:00:00 am,3.1744431405947631,0,-1.1357646063782667,0.42798709482168745,0,0,0,0,0.75573889680793294,0,0,0
20/09/2022 12:00:00 am,2.4916257361396155,0,-1.1128281066413024,0.43001070218615467,0,0,0,0,0.75433989894782028,0,0,0
21/09/2022 12:00:00 am,1.8359270201707307,0,-1.0861295831486117,0.43043086717972701,0,0,0,0,0.74755534632761467,0,0,0
